id,user_id,disagree,created_at,state,date
label0000000000,USER00000,0,0000000000,good,2023-01-19
label0000000001,USER00000,0,0000000001,good,2023-01-19
label0000000002,USER00000,1,0000000002,good,2023-01-19
label0000000003,USER00000,0,0000000003,good,2023-01-19
label0000000004,USER00000,0,0000000004,good,2023-01-19
label0000000005,USER00000,0,0000000005,good,2023-01-19
label0000000006,USER00000,0,0000000006,good,2023-01-19
label0000000007,USER00000,0,0000000007,good,2023-01-19
label0000000008,USER00000,0,0000000008,good,2023-01-19
label0000000009,USER00000,0,0000000009,good,2023-01-19
label0000000010,USER00000,0,0000000010,good,2023-01-19
label0000000011,USER00000,0,0000000011,good,2023-01-19
label0000000012,USER00000,0,0000000012,good,2023-01-19
label0000000013,USER00000,0,0000000013,good,2023-01-19
label0000000014,USER00000,0,0000000014,good,2023-01-19
label0000000015,USER00000,0,0000000015,good,2023-01-19
label0000000016,USER00000,0,0000000016,good,2023-01-19
label0000000017,USER00000,0,0000000017,good,2023-01-19
label0000000018,USER00000,0,0000000018,good,2023-01-19
label0000000019,USER00000,0,0000000019,good,2023-01-19
label0000000020,USER00000,0,0000000020,good,2023-01-19
label0000000021,USER00000,0,0000000021,good,2023-01-19
label0000000022,USER00000,0,0000000022,good,2023-01-19
label0000000023,USER00000,0,0000000023,good,2023-01-19
label0000000024,USER00000,0,0000000024,good,2023-01-19
label0000000025,USER00000,0,0000000025,good,2023-01-19
label0000000026,USER00000,0,0000000026,good,2023-01-19
label0000000027,USER00000,0,0000000027,good,2023-01-19
label0000000028,USER00000,0,0000000028,good,2023-01-19
label0000000029,USER00000,0,0000000029,good,2023-01-19
label0000000030,USER00000,0,0000000030,good,2023-01-19
label0000000031,USER00000,0,0000000031,good,2023-01-19
label0000000032,USER00000,0,0000000032,good,2023-01-19
label0000000033,USER00000,0,0000000033,good,2023-01-19
label0000000034,USER00000,0,0000000034,good,2023-01-19
label0000000035,USER00000,0,0000000035,good,2023-01-19
label0000000036,USER00000,0,0000000036,good,2023-01-19
label0000000037,USER00000,0,0000000037,good,2023-01-19
label0000000038,USER00000,1,0000000038,good,2023-01-19
label0000000039,USER00000,0,0000000039,good,2023-01-19
label0000000040,USER00000,0,0000000040,good,2023-01-19
label0000000041,USER00000,0,0000000041,good,2023-01-19
label0000000042,USER00000,0,0000000042,good,2023-01-19
